Audience Name,Media Channel,GRPs,Cover %,Avg. Freq,Cover,Impressions
ABC1 Adults,Linear TV,750,64.17,11.69,18455933.7,215749865
ABC1 Adults,Linear TV,800,64.71,12.36,18611243.1,230034964.7
ABC1 Adults,Linear TV,850,65.21,13.04,18755048.1,244565827.2
ABC1 Adults,Linear TV,900,65.67,13.7,18887348.7,258756677.2
ABC1 Adults,Linear TV,950,66.11,14.37,19013897.1,273229701.3
ABC1 Adults,Linear TV,1000,66.51,15.03,19128941.1,287507984.7
ABC1 Adults,BVOD,5,4.64,1.08,1334510.4,1441271.232
ABC1 Adults,BVOD,10,8.67,1.15,2493578.7,2867615.505
ABC1 Adults,BVOD,15,12.2,1.23,3508842,4315875.66
ABC1 Adults,BVOD,20,15.32,1.31,4406185.2,5772102.612
ABC1 Adults,BVOD,25,18.12,1.38,5211493.2,7191860.616
ABC1 Adults,BVOD,30,20.62,1.45,5930518.2,8599251.39
ABC1 Adults,BVOD,35,22.89,1.53,6583392.9,10072591.14
ABC1 Adults,BVOD,40,24.96,1.6,7178745.6,11485992.96
ABC1 Adults,BVOD,45,26.84,1.68,7719452.4,12968680.03
ABC1 Adults,BVOD,50,28.57,1.75,8217017.7,14379780.98
ABC1 Adults,BVOD,55,30.16,1.82,8674317.6,15787258.03
ABC1 Adults,BVOD,60,31.63,1.9,9097104.3,17284498.17
ABC1 Adults,BVOD,65,33,1.97,9491130,18697526.1
ABC1 Adults,BVOD,70,34.26,2.04,9853518.6,20101177.94
ABC1 Adults,BVOD,75,35.44,2.12,10192898.4,21608944.61
ABC1 Adults,BVOD,80,36.54,2.19,10509269.4,23015299.99
ABC1 Adults,BVOD,85,37.57,2.26,10805507.7,24420447.4
ABC1 Adults,BVOD,90,38.53,2.34,11081613.3,25930975.12
ABC1 Adults,BVOD,95,39.43,2.41,11340462.3,27330514.14
ABC1 Adults,BVOD,100,40.29,2.48,11587806.9,28737761.11
ABC1 Adults,BVOD,110,41.85,2.63,12036478.5,31655938.46
ABC1 Adults,BVOD,120,43.24,2.78,12436256.4,34572792.79
ABC1 Adults,BVOD,130,44.49,2.92,12795768.9,37363645.19
ABC1 Adults,BVOD,140,45.62,3.07,13120768.2,40280758.37
ABC1 Adults,BVOD,150,46.65,3.22,13417006.5,43202760.93
ABC1 Adults,BVOD,160,47.58,3.36,13684483.8,45979865.57
ABC1 Adults,BVOD,170,48.44,3.51,13931828.4,48900717.68
ABC1 Adults,BVOD,180,49.22,3.66,14156164.2,51811560.97
ABC1 Adults,BVOD,190,49.94,3.8,14363243.4,54580324.92
ABC1 Adults,BVOD,200,50.61,3.95,14555942.1,57495971.3
ABC1 Adults,BVOD,210,51.22,4.1,14731384.2,60398675.22
ABC1 Adults,BVOD,220,51.79,4.25,14895321.9,63305118.08
ABC1 Adults,BVOD,230,52.32,4.4,15047755.2,66210122.88
ABC1 Adults,BVOD,240,52.82,4.54,15191560.2,68969683.31
ABC1 Adults,BVOD,250,53.28,4.69,15323860.8,71868907.15
ABC1 Adults,BVOD,260,53.71,4.84,15447533.1,74766060.2
ABC1 Adults,BVOD,270,54.12,4.99,15565453.2,77671611.47
ABC1 Adults,BVOD,280,54.5,5.14,15674745,80568189.3
ABC1 Adults,BVOD,290,54.86,5.29,15778284.6,83467125.53
ABC1 Adults,BVOD,300,55.19,5.44,15873195.9,86350185.7
ABC1 Adults,BVOD,320,55.81,5.73,16051514.1,91975175.79
ABC1 Adults,BVOD,340,56.37,6.03,16212575.7,97761831.47
ABC1 Adults,BVOD,360,56.87,6.33,16356380.7,103535889.8
ABC1 Adults,BVOD,380,57.32,6.63,16485805.2,109300888.5
ABC1 Adults,BVOD,400,57.72,6.93,16600849.2,115043885
ABC1 Adults,BVOD,420,58.1,7.23,16710141,120814319.4
ABC1 Adults,BVOD,440,58.43,7.53,16805052.3,126542043.8
ABC1 Adults,BVOD,460,58.74,7.83,16894211.4,132281675.3
ABC1 Adults,BVOD,480,59.03,8.13,16977618.3,138028036.8
ABC1 Adults,BVOD,500,59.29,8.43,17052396.9,143751705.9
ABC1 Adults,BVOD,550,59.86,9.19,17216334.6,158218115
ABC1 Adults,BVOD,600,60.33,9.94,17351511.3,172474022.3
ABC1 Adults,BVOD,650,60.73,10.7,17466555.3,186892141.7
ABC1 Adults,BVOD,700,61.06,11.46,17561466.6,201254407.2
ABC1 Adults,BVOD,750,61.34,12.23,17641997.4,215761628.2
ABC1 Adults,BVOD,800,61.59,12.99,17713899.9,230103559.7
ABC1 Adults,BVOD,850,61.8,13.75,17774298,244396597.5
ABC1 Adults,BVOD,900,61.98,14.52,17826067.8,258834504.5
ABC1 Adults,BVOD,950,62.14,15.29,17872085.4,273264185.8
ABC1 Adults,BVOD,1000,62.28,16.06,17912350.8,287672353.8
ABC1 Adults,Audio,5,4.57,1.09,1314377.7,1432671.693
